Year,New Zealand,New Caledonia,Papua New Guinea,Vanuatu,Fiji,Other Oceania and Antarctica,"UK, CIs & IOM",Ireland,Austria,Belgium,France,Germany,Netherlands,Switzerland,Denmark,Finland,Norway,Sweden,Other North-West Europe,Italy,Spain,Poland,Russian Federation,Other Southern and Eastern Europe,Iran,Israel,Saudi Arabia,United Arab Emirates,Other North Africa and the Middle East,Cambodia,Thailand,Vietnam,Indonesia,Malaysia,Philippines,Singapore,Other South-East Asia,China,Hong Kong,Taiwan,Japan,"Korea, South",Other North-East Asia,Bangladesh,India,Nepal,Pakistan,Sri Lanka,Other Southern and Central Asia,Canada,United States of America,Argentina,Brazil,Chile,Colombia,Mexico,Other Americas,South Africa,Other Sub-Saharan Africa
1991,"480,580","15,210","35,180","2,600","16,770","15,300","263,740","9,590","10,280","4,090","22,680","77,700","21,360","29,570","9,850","5,740","4,080","19,140",620,"24,340","3,970","2,160",0,"17,820","1,270","4,840","2,010","1,150","5,510",20,"24,690","2,940","36,990","48,030","15,740","87,460","3,210","16,420","62,780","34,730","528,570","23,610",760,630,"9,780",450,"1,300","4,080",90,"53,410","271,750","2,640","2,490","1,290",540,"1,540","2,470","9,240","7,790"
1992,"447,540","17,970","36,960","3,230","16,340","15,820","289,910","8,720","10,800","4,240","25,350","89,890","23,550","29,010","10,360","5,070","4,450","19,120",880,"27,420","4,900","2,020",40,"17,830","1,240","4,660","2,570","1,840","6,990",230,"33,560","4,750","45,850","60,350","16,110","116,810","4,030","18,680","74,740","63,470","629,930","33,570",890,510,"9,600",320,"1,610","3,830",110,"48,930","262,850","3,100","2,480","1,440",500,"1,940","2,430","15,260","7,820"
1993,"499,270","18,390","40,430","3,220","17,310","17,700","310,280","11,020","13,150","5,320","31,000","105,590","27,490","30,550","11,580","4,710","4,640","17,600","1,000","31,630","5,450","2,410",540,"19,550","1,120","5,510","3,410","1,950","8,880",510,"46,450","3,320","71,550","80,400","17,920","154,900","5,300","22,270","92,010","108,720","670,820","62,020","1,380",700,"9,770",340,"1,390","3,630",260,"50,530","281,270","3,870","2,670","1,580",570,"2,070","2,560","26,420","10,560"
1994,"480,350","20,210","41,930","3,950","19,490","20,280","335,310","15,160","15,520","7,000","34,520","122,690","30,920","36,360","14,650","5,540","5,770","20,170","1,500","36,690","6,860","3,160","2,750","23,320","1,300","6,870","2,960","2,820","9,950",550,"66,820","4,070","105,710","95,070","21,670","187,640","6,280","29,690","109,540","142,530","721,090","110,270","3,340",600,"12,090",500,"1,840","4,420",440,"54,280","289,680","5,270","3,880","2,040",810,"2,410","3,260","30,260","12,290"
1995,"538,380","21,400","42,270","3,550","18,990","22,570","347,890","17,360","16,950","7,660","35,200","124,190","34,530","35,280","15,740","5,810","6,640","22,440","1,190","36,810","7,330","3,410","2,820","26,560","1,270","8,130","3,010","3,260","13,050",500,"81,320","4,780","134,950","108,200","26,940","202,360","6,910","42,600","131,690","151,970","782,680","167,970","1,860",920,"17,140",860,"2,320","5,890",690,"58,370","304,880","4,640","4,710","2,240",970,"1,860","4,190","32,750","9,490"
1996,"671,880","23,470","43,480","3,670","21,250","22,970","367,530","20,820","17,400","9,140","34,950","125,400","38,820","39,420","17,330","6,640","7,240","23,450","1,580","40,570","8,110","3,730","1,850","29,810","1,430","9,360","2,960","5,770","12,930",390,"88,920","5,350","154,440","134,410","33,570","222,820","8,520","53,980","153,190","159,400","813,100","227,860","2,230","1,050","21,340",890,"2,740","6,810",870,"61,130","316,880","5,350","7,060","2,420","1,010","2,220","5,180","42,640","10,420"
1997,"685,650","21,780","43,970","3,270","20,010","27,910","410,630","25,300","19,550","9,240","40,000","128,870","42,030","38,610","16,990","6,760","9,440","24,030","1,840","45,840","9,380","4,230","2,710","34,250","1,720","10,600","3,680","5,830","13,570","1,020","68,580","7,090","160,380","143,680","41,070","239,290","8,080","65,850","151,720","153,250","813,890","233,810","2,360","1,490","26,140",690,"3,040","6,020","1,090","64,770","329,580","5,610","8,320","2,490","1,700","2,570","5,050","45,190","11,800"
1998,"709,410","23,670","44,910","4,230","22,670","32,140","467,550","31,020","16,920","9,430","42,970","127,380","46,980","40,330","18,200","6,250","10,560","26,830","1,860","47,840","10,590","4,530","2,990","35,240","1,170","10,960","3,530","10,160","16,180","1,440","49,120","8,630","93,040","112,090","35,380","247,080","9,420","76,560","143,420","149,940","751,130","66,640","3,040","2,020","29,390",960,"2,970","6,820","1,440","71,700","373,910","6,570","8,640","2,920","1,650","2,850","5,380","56,910","14,040"
1999,"728,790","25,010","50,430","5,490","25,910","30,960","528,440","40,450","17,350","10,380","49,140","144,500","52,280","45,090","18,480","7,750","11,910","29,450","1,960","51,430","12,790","5,120","3,270","38,690","1,240","12,470","4,260","14,250","19,680","1,180","61,850","8,920","90,990","139,780","40,270","266,960","8,080","92,590","139,560","147,510","707,480","108,630","3,030","2,630","33,640",830,"3,050","8,130","1,360","78,380","417,040","8,780","8,530","2,830","1,740","3,750","6,550","57,950","13,360"
2000,"817,030","25,270","44,470","6,460","23,160","33,170","580,440","46,440","18,570","11,800","57,330","143,260","61,250","47,850","20,680","9,450","16,580","36,780","2,260","57,930","16,350","6,780","6,180","50,430","1,610","13,120","4,370","13,450","22,300","1,340","72,750","8,820","98,110","152,080","39,180","285,730","13,480","120,260","154,100","134,350","720,980","157,390","3,530","3,310","41,450","1,060","2,510","9,460","2,640","88,290","488,120","9,580","13,390","3,240","2,490","6,230","9,640","59,510","18,130"
2001,"814,880","28,710","38,950","4,870","24,520","27,950","617,200","51,570","17,940","10,460","50,030","147,610","56,510","46,220","18,340","7,250","16,570","31,650","2,080","43,310","12,420","6,460","4,410","36,270","1,920","14,560","4,090","13,970","20,590","1,410","79,950","9,300","97,880","149,410","30,410","296,000","14,690","157,940","154,150","110,080","673,570","175,600","2,910","3,250","48,200","1,130","2,660","8,290","1,190","93,150","446,450","7,870","11,610","3,780","2,200","4,680","7,750","54,940","17,700"
2002,"790,080","30,500","31,260","5,260","23,170","24,130","642,650","48,040","19,020","10,800","49,550","134,810","53,000","41,510","18,870","6,530","16,860","30,890","1,990","43,300","12,440","8,760","4,360","35,190","1,770","15,060","4,060","13,300","17,040","1,170","82,660","9,240","89,430","159,000","28,460","286,860","16,980","190,020","150,950","97,420","715,460","189,730","1,910","3,140","45,020",920,"2,070","7,190","1,030","90,870","434,500","4,360","10,240","3,010","1,600","5,400","6,220","50,970","16,560"
2003,"839,090","33,600","27,310","5,250","25,470","25,740","672,810","52,960","18,810","9,860","51,380","137,890","50,950","40,910","19,010","7,680","17,180","31,800","1,770","41,320","12,430","5,490","5,050","33,610","1,760","13,340","4,040","15,230","18,270","1,300","73,160","9,450","90,270","155,610","27,010","253,360","15,100","176,140","129,290","87,740","627,740","207,280","1,870","3,400","45,610",830,"2,610","8,550","1,200","87,920","422,130","3,710","8,310","3,460","1,410","5,270","5,240","52,730","16,430"
2004,"1,029,460","35,910","25,710","6,870","25,270","27,450","679,320","54,440","18,160","11,210","58,430","141,760","48,700","42,100","20,760","9,550","17,170","33,990","2,110","47,410","16,040","6,260","6,250","37,620","2,180","14,310","4,860","18,660","22,680","1,970","77,680","11,270","83,630","165,070","31,280","243,900","11,450","250,210","135,640","98,600","707,090","213,580","2,320","3,510","54,710",840,"2,580","9,820","1,400","100,170","431,170","3,630","10,430","3,960","1,420","5,110","5,460","50,100","16,800"
2005,"1,088,020","37,810","27,540","6,730","26,780","26,660","714,810","61,890","18,240","12,160","65,750","149,060","51,010","42,870","23,150","10,100","17,050","36,420","2,350","51,530","17,060","6,630","7,390","40,280","2,710","15,710","6,100","19,240","24,880","2,510","72,960","13,620","82,690","161,710","33,900","248,140","10,840","282,730","156,180","110,790","679,970","254,630","2,900","2,750","65,800","1,070","3,480","10,220","2,110","106,730","442,650","4,160","12,960","4,860","1,990","5,350","6,260","51,090","17,790"
