stop_id,latitude,stop_name,longitude,ticketzone,routeussp
10339,-37.696994,Emms St/Settlement Rd (Bundoora),145.051636,2,902
10340,-37.694273,Green St/Settlement Rd (Thomastown),145.038098,2,902
10341,-37.694806,Norris Bank PS/Settlement Rd (Thomastown),145.042496,2,902
10343,-37.693919,Brand Dr/Settlement Rd (Thomastown),145.034728,2,902
10344,-37.693629,Wood St/Settlement Rd (Thomastown),145.031877,2,902
10345,-37.695281,Finton Gr/Keon Pde (Thomastown),145.016489,2,902
10346,-37.69489,Keon Park Station/Keon Pde (Thomastown),145.01304,2,902
10347,-37.694552,High St/Mahoneys Rd (Thomastown),145.009613,2,902
10348,-37.693838,Edgars Rd/Mahoneys Rd (Thomastown),145.002521,2,902
10349,-37.693317,Lipton Dr/Mahoneys Rd (Thomastown),144.997329,2,902
10350,-37.693135,Callander St/Mahoneys Rd (Thomastown),144.995622,2,902
10351,-37.692786,Clay Ct/Mahoneys Rd (Thomastown),144.99207,2,902
10352,-37.692178,Lawson Cres/Mahoneys Rd (Thomastown),144.986019,2,902
10353,-37.691798,Lockton Ave/Mahoneys Rd (Thomastown),144.982242,2,902
10354,-37.691547,Industrial Ave/Mahoneys Rd (Thomastown),144.979697,2,902
10355,-37.691146,Phillip St/Mahoneys Rd (Thomastown),144.975727,2,902
1002,-37.697448,Liston Ave/Cheddar Rd (Reservoir),145.021002,2,556
1003,-37.695042,Keon Pde/Dalton Rd (Thomastown),145.023164,2,556
1004,-37.692008,Wood St/Dalton Rd (Thomastown),145.02549,2,556
1005,-37.688275,Settlement Rd/Dalton Rd (Thomastown),145.028061,2,556
10773,-37.697641,St Damians PS/Settlement Rd (Bundoora),145.056474,2,902
10827,-37.69742,Edward St/Settlement Rd (Bundoora),145.054551,2,902
10828,-37.697049,Outlook Rise/Settlement Rd (Bundoora),145.05117,2,902
10829,-37.696246,Latrobe Ave/Settlement Rd (Bundoora),145.046722,2,902
10830,-37.695447,Greenhills Rd/Settlement Rd (Bundoora),145.044237,2,902
10831,-37.694703,Norris Bank PS/Settlement Rd (Bundoora),145.041194,2,902
10832,-37.694202,Apex Ct/Settlement Rd (Thomastown),145.036024,2,902
10833,-37.693864,Brand Dr/Settlement Rd (Thomastown),145.033051,2,902
10834,-37.693231,Hanrahan St/Wood St (Thomastown),145.026977,2,902
10836,-37.696143,Cheddar Rd/Keon Pde (Reservoir),145.021649,2,902
10837,-37.695578,Finton Gr/Keon Pde (Reservoir),145.01647,2,902
10838,-37.695131,Keon Park Station/Keon Pde (Reservoir),145.012932,2,902
10839,-37.694877,High St/Mahoneys Rd (Reservoir),145.01016,2,902
10840,-37.694091,William Ruthven Sec Col/Mahoneys Rd (Reservoir),145.002594,2,902
10841,-37.693701,Long St/Mahoneys Rd (Reservoir),144.998703,2,902
10842,-37.693313,Callander St/Mahoneys Rd (Reservoir),144.994948,2,902
10843,-37.692844,Hughes Pde/Mahoneys Rd (Reservoir),144.990163,2,"902,558"
10844,-37.692399,Lawson Cres/Mahoneys Rd (Reservoir),144.985786,2,"902,558"
10845,-37.692094,Lockton Ave/Mahoneys Rd (Reservoir),144.982699,2,"902,558"
10846,-37.691627,Sheargold Ct/Mahoneys Rd (Reservoir),144.97805,2,902
10847,-37.691367,Phillip St/Mahoneys Rd (Reservoir),144.975472,2,902
1000,-37.700775,Dole Ave/Cheddar Rd (Reservoir),145.018951,2,556
1001,-37.699183,Lloyd Ave/Cheddar Rd (Reservoir),145.019685,2,556
1199,-37.702423,Harmer St/Cheddar Rd (Reservoir),145.017807,2,556
1200,-37.700831,Dole Ave/Cheddar Rd (Reservoir),145.019052,2,556
1201,-37.699204,Lloyd Ave/Cheddar Rd (Reservoir),145.019832,2,556
1202,-37.697664,Daleglen St/Cheddar Rd (Reservoir),145.020985,2,556
1203,-37.69642,Keon Pde/Cheddar Rd (Reservoir),145.022038,2,556
1204,-37.692396,Wood St/Dalton Rd (Thomastown),145.025548,2,556
1205,-37.688827,Settlement Rd/Dalton Rd (Thomastown),145.028194,2,556
11651,-37.706667,Radford Rd/Broadhurst Ave (Reservoir),144.983778,2,558
11652,-37.706931,Fiddes St/Broadhurst Ave (Reservoir),144.987083,2,558
11653,-37.707634,Edgars Creek Wetlands/Broadhurst Ave (Reservoir),144.995061,2,558
11654,-37.707775,McFadzean Ave/Broadhurst Ave (Reservoir),144.996986,2,558
12408,-37.707235,Massey Ave/Broadhurst Ave (Reservoir),144.990637,2,558
12409,-37.707358,Lawley St/Broadhurst Ave (Reservoir),144.992596,2,558
12410,-37.708199,Gellibrand Cres/Broadhurst Ave (Reservoir),145.001761,2,558
12412,-37.707888,McFadzean Ave/Broadhurst Ave (Reservoir),144.997255,2,558
12413,-37.70766,Edgars Creek Wetlands/Broadhurst Ave (Reservoir),144.994425,2,558
12414,-37.707297,Banbury Rd/Broadhurst Ave (Reservoir),144.990612,2,558
12415,-37.70699,Fiddes St/Broadhurst Ave (Reservoir),144.986843,2,558
12416,-37.704995,Radford Rd/Glasgow Ave (Reservoir),144.984039,2,558
11631,-37.709694,Barry St/Whitby St (Reservoir),145.003332,2,558
11632,-37.708323,Gellibrand Cres/Broadhurst Ave (Reservoir),145.002189,2,558
11633,-37.708177,Chauvel St/Broadhurst Ave (Reservoir),145.000446,2,558
11634,-37.707547,Broadhurst Ave/McFadzean Ave (Reservoir),144.997888,2,558
11635,-37.70533,Elliot St/McFadzean Ave (Reservoir),144.997857,2,558
11636,-37.702539,Glasgow Ave/McFadzean Ave (Reservoir),144.996979,2,558
11640,-37.692823,Doug Hannah Reserve/Anstey Ave (Reservoir),144.981068,2,558
11641,-37.692515,Anstey Ave/Churchill Ave (Reservoir),144.975701,2,558
11643,-37.696198,Claremont Cres/Moira Ave (Reservoir),144.980761,2,558
11644,-37.69618,Ross St/Davidson St (Reservoir),144.988179,2,558
11645,-37.697071,LE Cotchin Reserve/Massey Ave (Reservoir),144.990752,2,558
11646,-37.699223,Amery St/Massey Ave (Reservoir),144.990104,2,558
11647,-37.701461,Godley St/Massey Ave (Reservoir),144.989749,2,558
11648,-37.703888,Glasgow Ave/Massey Ave (Reservoir),144.989888,2,558
11649,-37.704732,Fiddes St/Glasgow Ave (Reservoir),144.987642,2,558
11650,-37.704992,Ashfield St/Glasgow Ave (Reservoir),144.984924,2,558
1195,-37.710405,Palm Ave/Cheddar Rd (Reservoir),145.012285,2,556
1196,-37.708119,Rathcown Rd/Cheddar Rd (Reservoir),145.014105,2,556
1197,-37.706251,Miranda Rd/Cheddar Rd (Reservoir),145.01555,2,556
1198,-37.704934,St Vigeons Rd/Cheddar Rd (Reservoir),145.016549,2,556
12417,-37.704653,Godley St/Glasgow Ave (Reservoir),144.987735,2,558
12418,-37.703957,Glasgow Ave/Massey Ave (Reservoir),144.989761,2,558
12419,-37.698322,Amery St/Massey Ave (Reservoir),144.99014,2,558
12424,-37.692593,Sheargold Ct/Anstey Ave (Reservoir),144.978659,2,558
12426,-37.693285,Sheargold Ct/Churchill Ave (Reservoir),144.978584,2,558
12428,-37.693948,Riviera Ct/Moira Ave (Reservoir),144.980425,2,558
12430,-37.696392,Lockton Ave/Davidson St (Reservoir),144.982661,2,558
12431,-37.696293,Dawson St/Davidson St (Reservoir),144.984751,2,558
12433,-37.698265,Wilson Bvd/Hughes Pde (Reservoir),144.99469,2,558
12434,-37.700142,Hughes Pde/McFadzean Ave (Reservoir),144.99642,2,558
12435,-37.701736,Hurley St/McFadzean Ave (Reservoir),144.996899,2,558
12436,-37.702914,Glasgow Ave/McFadzean Ave (Reservoir),144.997264,2,558
12437,-37.705431,Botha Ave/McFadzean Ave (Reservoir),144.99799,2,558
12438,-37.707289,O'Donnell St/McFadzean Ave (Reservoir),144.998042,2,558
12439,-37.708108,Chauvel St/Broadhurst Ave (Reservoir),145.000641,2,558
12441,-37.709749,Barry St/Whitby St (Reservoir),145.003353,2,558
13016,-37.701543,Hurley St/McFadzean Ave (Reservoir),144.9967,2,558
13776,-37.693134,Hanrahan St/Wood St (Thomastown),145.027116,2,902
13777,-37.695891,Dalton Rd/Keon Pde (Thomastown),145.02169,2,902
13778,-37.695362,Greenhills Rd/Settlement Rd (Bundoora),145.0445,2,902
13779,-37.696394,Norris Bank Reserve/Settlement Rd (Bundoora),145.047535,2,902
1767,-37.701165,Grimshaw St/Plenty Rd (Bundoora),145.058128,2,382
173,-37.695637,Bundoora Square Shopping Centre/Plenty Rd (Bundoora),145.05952,2,"566,382"
174,-37.700302,Olympic St/Grimshaw St (Bundoora),145.060998,2,"902,566"
2051,-37.702958,Mt Cooper Dr/Plenty Rd (Bundoora),145.056437,2,382
2052,-37.700567,Grimshaw St/Plenty Rd (Bundoora),145.057883,2,382
209,-37.704961,Noorong Ave/Greenwood Dr (Bundoora),145.061512,2,566
1915,-37.709483,Rathcown Rd/Black St (Reservoir),145.020194,2,552
1916,-37.708385,Purinuan Rd/Borrie St (Reservoir),145.019758,2,552
1917,-37.706867,Miranda Rd/Borrie St (Reservoir),145.020048,2,552
1918,-37.700688,Teresa Ct/Gertz Ave (Reservoir),145.029921,2,552
1919,-37.702551,Dumbarton St/Invermay St (Reservoir),145.02867,2,552
210,-37.705396,Havelock Ave/Greenwood Dr (Bundoora),145.058925,2,566
215,-37.710474,Bundoora MFB/Plenty Rd (Bundoora),145.048822,2,"566,382"
211,-37.706742,Athol Ave/Greenwood Dr (Bundoora),145.056905,2,566
212,-37.707423,Botanic Ct/Greenwood Dr (Bundoora),145.056127,2,566
213,-37.708064,Plenty Rd/Greenwood Dr (Bundoora),145.052957,2,566
22354,-37.704466,Banff St/Invermay St (Reservoir),145.028381,2,552
22355,-37.709029,Rathcown Rd/Box St (Reservoir),145.021034,2,552
22356,-37.710598,McMahon Rd/Black St (Reservoir),145.020039,2,552
22358,-37.710642,McMahon Rd/Black St (Reservoir),145.01997,2,552
22359,-37.705281,Banff St/Hickford St (Reservoir),145.022744,2,552
22360,-37.705576,Argyle St/Hickford St (Reservoir),145.025289,2,552
22361,-37.705358,Keon Park PS/Borrie St (Reservoir),145.020338,2,552
22362,-37.70584,Invermay St/Hickford St (Reservoir),145.02755,2,552
22363,-37.704501,Darebin Bvd/Invermay St (Reservoir),145.028323,2,552
22462,-37.702277,Gourlock St/Dumbarton St (Reservoir),145.031161,2,552
22719,-37.697496,Dredge St/Hughes Pde (Reservoir),144.993497,2,558
22720,-37.697069,LE Cotchin Reserve/Massey Ave (Reservoir),144.990605,2,558
22722,-37.701314,Greig St/Massey Ave (Reservoir),144.989606,2,558
22724,-37.707526,Lawley St/Broadhurst Ave (Reservoir),144.99241,2,558
22748,-37.69835,Wilson Bvd/Hughes Pde (Reservoir),144.994393,2,558
2694,-37.69583,Bundoora Square SC/Plenty Rd (Bundoora),145.059753,2,"566,382"
2695,-37.700022,Plenty Rd/Grimshaw St (Bundoora),145.059304,2,"902,566"
2731,-37.705343,Norwood Ct/Greenwood Dr (Bundoora),145.059539,2,566
2732,-37.706277,Athol Ave/Greenwood Dr (Bundoora),145.0577,2,566
2733,-37.708115,Moreton Cres/Greenwood Dr (Bundoora),145.054918,2,566
2734,-37.708192,Plenty Rd/Greenwood Dr (Bundoora),145.053022,2,566
2735,-37.708012,Greenwood Dr/Plenty Rd (Bundoora),145.051938,2,382
2736,-37.709924,Grange Bvd/Plenty Rd (Bundoora),145.049891,2,"566,382"
8787,-37.695639,Moomba Park PS/Opp 110 Anderson Rd (Fawkner),144.966623,2,530
8788,-37.695944,Hogan St/Anderson Rd (Fawkner),144.969155,2,530
8789,-37.696231,Hugo Ct/Anderson Rd (Fawkner),144.971665,2,530
8790,-37.696635,Anderson Rd/Beccles St (Fawkner),144.973684,2,530
8791,-37.697991,Oulton Street Park/Beccles St (Fawkner),144.97342,2,530
8792,-37.700167,Preston St/Tyson St (Fawkner),144.973111,2,530
995,-37.709015,Crookston Rd/Cheddar Rd (Reservoir),145.012697,2,556
996,-37.707146,Purinuan Rd/Cheddar Rd (Reservoir),145.014108,2,556
997,-37.706052,Elsey Rd/Cheddar Rd (Reservoir),145.014988,2,556
998,-37.704263,Hickford St/Cheddar Rd (Reservoir),145.016329,2,556
9989,-37.697703,Cook St/Settlement Rd (Bundoora),145.058014,2,902
999,-37.702172,Harmer St/Cheddar Rd (Reservoir),145.017893,2,556
9990,-37.69732,Brownhill St/Settlement Rd (Bundoora),145.054486,2,902
7363,-37.693835,Anderson Rd/Sydney Rd (Fawkner),144.958676,2,531
7364,-37.699898,Gowrie Station/Sydney Rd (Fawkner),144.959644,2,531
7365,-37.696723,1349 Sydney Rd (Fawkner),144.958937,2,531
7367,-37.706713,Major Rd/Sydney Rd (Hadfield),144.960807,2,531
7368,-37.709036,Moray St/Sydney Rd (Fawkner),144.961197,2,531
7802,-37.699786,Hughes Pde/McFadzean Ave (Reservoir),144.996169,2,558
6925,-37.694786,Sandra Ave/Anderson Rd (Fawkner),144.960045,2,530
6928,-37.69582,Hogan St/Anderson Rd (Fawkner),144.969271,2,530
6932,-37.700177,Preston St/Tyson St (Fawkner),144.973179,2,530
6934,-37.702478,John Fawkner Colllege/Jukes Rd (Fawkner),144.972334,2,530
6935,-37.702327,Minona St/Jukes Rd (Fawkner),144.970897,2,530
6940,-37.707378,Ledger Ave/Major Rd (Fawkner),144.968525,2,530
6943,-37.709855,24 James St (Fawkner),144.973641,2,530
7823,-37.696877,Dredge St/Hughes Pde (Reservoir),144.992073,2,558
7830,-37.694932,Sydney Rd/Anderson Rd (Fawkner),144.959599,2,530
587,-37.702544,Inverness St/Invermay St (Reservoir),145.028772,2,552
588,-37.706218,Hickford St/Invermay St (Reservoir),145.028073,2,552
589,-37.707583,Miranda Rd/Mais St (Reservoir),145.027799,2,552
590,-37.707827,Mais St/Miranda Rd (Reservoir),145.026227,2,552
591,-37.707617,Mais St/Miranda Rd (Reservoir),145.024475,2,552
592,-37.707303,Box St/Miranda Rd (Reservoir),145.021863,2,552
46454,-37.707063,Greenwood Dr/Plenty Rd (Bundoora),145.052325,2,382
46455,-37.704714,Mt Cooper Dr/Plenty Rd (Bundoora),145.054712,2,382
40752,-37.706674,Greek Orthodox Church/Major Rd (Fawkner),144.96167,2,530
40757,-37.706638,Greek Orthodox Church/Major Rd (Fawkner),144.961637,2,530
40758,-37.707009,Bonwick St/Major Rd (Fawkner),144.964361,2,530
5065,-37.688258,Settlement Rd/High St (Thomastown),145.012593,2,555
5067,-37.693642,Keon Park Station/High St (Thomastown),145.011747,2,555
5068,-37.697139,Asquith St/Hughes Pde (Reservoir),145.009612,2,555
5069,-37.699256,Rosenthal Cres/Hughes Pde (Reservoir),145.005846,2,555
5070,-37.701144,Rosenthal Cres/Allenby Ave (Reservoir),145.005058,2,555
5071,-37.703287,Gellibrand Cres/Allenby Ave (Reservoir),145.007054,2,555
5072,-37.704991,High St/Allenby Ave (Reservoir),145.008721,2,555
5073,-37.707847,Ruthven Station/High St (Reservoir),145.009212,2,555
8801,-37.708083,Major Rd/James St (Fawkner),144.97386,2,530
8802,-37.709934,23 James St (Fawkner),144.97356,2,530
9534,-37.696905,1324 Sydney Rd (Fawkner),144.959568,2,531
9536,-37.703753,Maher St/Sydney Rd (Fawkner),144.960559,2,"531,530"
9537,-37.706944,Major Rd/Sydney Rd (Fawkner),144.961107,2,531
4733,-37.707035,Ruthven Station/High St (Reservoir),145.009165,2,555
4734,-37.704941,Hobbs Cres/Allenby Ave (Reservoir),145.008405,2,555
4735,-37.70343,Gellibrand Cres/Allenby Ave (Reservoir),145.007005,2,555
4736,-37.70136,Rosenthal Cres/Allenby Ave (Reservoir),145.004996,2,555
4737,-37.698935,Carson St/Hughes Pde (Reservoir),145.006025,2,555
4738,-37.697683,Asquith St/Hughes Pde (Reservoir),145.008202,2,555
4739,-37.696303,High St/Hughes Pde (Reservoir),145.010825,2,555
4740,-37.68963,Settlement Rd/High St (Thomastown),145.012171,2,555
4741,-37.687203,Austarc Ave/High St (Thomastown),145.012565,2,555
