Business address,Industry (ANZSIC4) description,Industry Category,Seating type,Trading name,Latitude,Longitude
"Tenancy 29, Ground , 2 Swanston Street MELBOURNE 3000","Pubs, Taverns and Bars","Pubs, Taverns and Bars",Seats - Indoor,Transport Hotel,-37.817777826,144.969941643
"Shop , Ground , 517 Flinders Lane MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Altius Coffee Brewers,-37.819875446,144.956486388
16 Flinders Lane MELBOURNE 3000,Bakery Product Manufacturing (Non-factory based),Bakery,Seats - Indoor,Five & Dime Bagel,-37.819875446,144.956486388
562-564 Flinders Street MELBOURNE 3000,Accommodation,Others,Seats - Indoor,YHA Melbourne Central,-37.820595116,144.955634809
"Unit 1, 8 Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cafe Keyif,-37.820399047,144.955969147
508-514 Flinders Street MELBOURNE 3000,"Pubs, Taverns and Bars","Pubs, Taverns and Bars",Seats - Indoor,Waterside Hotel,-37.820165998,144.957150448
561-585 Flinders Lane MELBOURNE 3000,Accommodation,Others,Seats - Indoor,Holiday Inn On Flinders Melbourne,-37.820200052,144.955104228
Part 547 Flinders Lane MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Rex Tremendae,-37.820019491,144.955838158
"Ground , 485 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Masala Grill,-37.819368158,144.958100066
452 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Laneway Cafe,-37.819465258,144.958599685
"Restaurant , 1 William Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Williams Bar Cafe,-37.819433058,144.959510897
"Shop 1, 381 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Threefold,-37.818250899,144.961389091
"Shop 1, Ground , 376-388 Flinders Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Iseya Icecream Bar And Cafe,-37.818841320,144.961553984
"Shop 5, 35 Elizabeth Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Mad Mex Flinders Lane,-37.817421760,144.964334423
"Level 1, 35 Elizabeth Street MELBOURNE 3000","Pubs, Taverns and Bars","Pubs, Taverns and Bars",Seats - Indoor,The Joint Bar,-37.817421760,144.964334423
"Part Ground , 325 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Toby's Estate Coffee,-37.817758352,144.963491021
"Part Ground , 335 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pronto On Flinders,-37.817847167,144.963225861
"Shop 2, Ground , 2 Queen Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Anchor Espresso,-37.818587643,144.962710414
328 Flinders Street MELBOURNE 3000,Accommodation,Others,Seats - Indoor,Rendezvous Hotels (Australia) Pty Ltd,-37.818195209,144.963570190
"Shop 1, Ground , 300 Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,#Coffee,-37.818057637,144.963995844
298 Flinders Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Joyci Sushi,-37.818072420,144.964354848
"Unit 1, 18 Queen Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Bond Street Kitchen,-37.818295994,144.962577277
"Shop 2, 28 Elizabeth Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,KFC,-37.817298998,144.964881456
"Shop 1, Ground , 28 Elizabeth Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Melbourne Halal Food Centre,-37.817298998,144.964881456
4 Flinders Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Starbucks,-37.817659955,144.965085817
5 Flinders Lane MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Roule Galette,-37.816859742,144.966302751
34 Flinders Lane MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Pear Drop Foods,-37.817063086,144.965902679
Part 253-265 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,The Journal Canteen/Oskars Kitchen,-37.817063086,144.965902679
23-25 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Degraves Espresso,-37.817102928,144.965476127
258 Flinders Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Kikoo Sushi,-37.817607386,144.965625595
13 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sea Salt,-37.817607386,144.965625595
20 Flinders Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Waffle On,-37.817519378,144.965997144
"Shop 3,  Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ratee Thai,-37.817248231,144.966551591
"Shop 14,  Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Sushi Ten,-37.817248231,144.966551591
"Shop 8,  Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Jolly J's,-37.817248231,144.966551591
"Shop 1, 170 Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Nando's,-37.816709642,144.969085748
"Basement , 31 Russell Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Ikkoryu Fukuoka Ramen,-37.815987400,144.969247616
"Shop 1, 80 Exhibition Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Bon a Manger,-37.815842703,144.972040983
2 Exhibition Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The French Brasserie,-37.815461267,144.971726401
"Part Gnd & Bmt , 87 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Terra Rossa,-37.815430394,144.971392654
91 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Papa Goose / Mary Fortune Cocktail Bar,-37.815412830,144.971217797
95-101 Flinders Lane MELBOURNE 3000,"Pubs, Taverns and Bars","Pubs, Taverns and Bars",Seats - Indoor,Garden State Hotel,-37.815527196,144.971098668
"Ground , 103 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cafe Kinetic,-37.815567217,144.970964328
"Ground , 135 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Meatball & Wine Bar,-37.815739332,144.970158878
"Basement , 137-139 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Oter,-37.815732436,144.970041363
"Level 2, 142-148 Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Dutchess,-37.816407505,144.970086349
"Ground , 142-148 Flinders Street MELBOURNE 3000","Pubs, Taverns and Bars","Pubs, Taverns and Bars",Seats - Indoor,The Duke of Wellington,-37.816407505,144.970086349
"Shop 1, Ground 0, 114-0 Flinders Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Son of the Bean,-37.815941394,144.970755226
19 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pastuso,-37.816005060,144.971155504
22-102 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,A Hereford Beefstouw,-37.815937358,144.971370502
12-20 Oliver Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Bowery to Williamsburg,-37.816142170,144.970301799
23 Russell Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lucy Liu's Kitchen & Bar,-37.815998105,144.969894984
11-15 Duckboard Place MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Lee Ho Fook,-37.815590082,144.971315513
"Level 3, 31 Flinders Lane MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Fonda Flinders Lane,-37.814897680,144.973292950
45 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Cumulus Inc,-37.814940419,144.973134604
61 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cecconi's Flinders Lane,-37.815064879,144.972512446
"Part Ground , 26 Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Felt Restaurant,-37.815285211,144.973589728
"Part Level 1, 1 Spring Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Truffula Seed Cafe,-37.814993454,144.973791803
"Part Ground , 8 Flinders Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,No 8 Exhibition Cafe,-37.815461714,144.972720877
72 Flinders Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Gazi,-37.815461714,144.972720877
48 Spencer Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Restaurant 1903,-37.819728347,144.954784715
"Tenancy 3, 567-587 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Black Rice,-37.819020086,144.955724681
"Tenancy 4, 567-587 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Pho Nom,-37.819020086,144.955724681
"Tenancy 7, 567-587 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Spudbar Collins Street 567,-37.819020086,144.955724681
"Tenancy 1, 567-587 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Buddabah,-37.819020086,144.955724681
"Tenancy 7, 567-587 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Guzman Y Gomez,-37.819020086,144.955724681
567-587 Collins Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Sargon,-37.819020086,144.955724681
"Shop , 607 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Krispy Kreme,-37.819292433,144.954689304
"Shop 5, 495 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Bonnie Coffee Brewers,-37.818539947,144.958117450
"Shop 7, 495 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Eclipse Coffee,-37.818539947,144.958117450
"Ground , 401 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Morgans at 401,-37.817379249,144.961211107
405-407 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Bluebag,-37.817448689,144.961112478
"Unit 2, Ground , 60 Market Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Oak & Vine Restaurant,-37.817777314,144.960818722
"Part Ground , 43-51 Queen Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Queen St Espresso,-37.817738270,144.961614309
"Part Ground , 388-394 Flinders Lane MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Saluministi,-37.817990636,144.961058189
"Tenancy 8, 1 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,O-Bento,-37.817296590,144.962791083
"Tenancy 3, 332-340 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Vapiano,-37.817296590,144.962791083
"Tenancy 2, 357 Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Cafe Mesh,-37.817296590,144.962791083
"Part Ground , 367 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cafenatics 367,-37.817281846,144.962442463
354 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Overdraft Cafe,-37.817281846,144.962442463
"Ground , 55 Elizabeth Street MELBOURNE 3000",Bakery Product Manufacturing (Non-factory based),Bakery,Seats - Indoor,Breadtop,-37.816972395,144.964129971
