theme,sub_theme,feature_name,co_ordinates,Description,Address
Cultural & Historical,Public Buildings,Elisabeth Murdoch Hall,"-37.8239733704282, 144.967450979234",,"Melbourne Recital Centre, 31 Sturt St, Southbank VIC 3006"
Cultural & Historical,Public Buildings,NGV International,"-37.8230135000869, 144.969342535451","Public gallery with vast, varied collection of noted Australian and international art and artefacts.","180 St Kilda Rd, Melbourne VIC 3006"
Cultural & Historical,Public Buildings,State Library Victoria,"-37.8099852201226, 144.964330322397","State landmark opened in 1856, spanning one city block & featuring a grand reading room.","328 Swanston St, Melbourne VIC 3000"
Cultural & Historical,Public Buildings,Shrine of Remembrance,"-37.8302080020387, 144.973441913623","Shrine commemorating Australian wartime service with memorials, exhibitions & gardens.","Birdwood Ave, Melbourne VIC 3001"
Cultural & Historical,Art Gallery/Museum,Australian Centre for Contemporary Art,"-37.8266045432686, 144.967252924593","Architecturally notable building featuring contemporary art exhibits & events, plus a bookshop.","111 Sturt St, Southbank VIC 3006"
Cultural & Historical,Art Gallery/Museum,Melbourne Museum,"-37.8035518129299, 144.971690718887",Modern building of an institution founded in 1854 containing dinosaur and regional history exhibits.,"11 Nicholson St, Carlton VIC 3053"
Cultural & Historical,Art Gallery/Museum,National Sports Museum,"-37.8189544909462, 144.984669809381",Museum featuring artifacts & interactive displays tracing the history of Australian sport.,"Melbourne Cricket Ground, Yarra Park, Gate 3 Brunton Ave, East Melbourne VIC 3002"
Cultural & Historical,Art Gallery/Museum,Sinclair's Cottage,"-37.8145407488014, 144.980554992725",,East Melbourne VIC 3002
Cultural & Historical,Art Gallery/Museum,Koorie Heritage Trust Inc,"-37.8133854259085, 144.954027907736","Contemporary space featuring Aboriginal & Koorie art & artifacts, with public programs.","The Birrarung Building, Fed Square, Cnr Flinders &, Swanston St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Cooks' Cottage,"-37.8144604899837, 144.979471339826","Yorkshire cottage home to James Cook's family, shipped from England & rebuilt in a city park.","Fitzroy Gardens, Wellington Parade, East Melbourne VIC 3002"
Cultural & Historical,Art Gallery/Museum,Royal Exhibition Building,"-37.80460262432, 144.971521914952","Landmark 19th-century exhibition centre, topped with a dome, and set amid landscaped gardens.","9 Nicholson St, Carlton VIC 3053"
Cultural & Historical,Art Gallery/Museum,The Museum Of Australian Chinese History,"-37.8107686127655, 144.96923385414","Exhibits chronicling the heritage & culture of Australia's Chinese community, plus a gift shop.","22 Cohen Pl, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"-37.8077644149636, 144.965463853978","Now a museum with self & guided tours, this storied tri-level jail once housed notorious inmates.","377 Russell St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Polly Woodside,"-37.8242574266145, 144.953478052064","1885 cargo vessel turned museum ship with guided tours, reenactments & family-oriented events.","21 S Wharf Promenade, South Wharf VIC 3006"
Cultural & Historical,Art Gallery/Museum,Victorian Arts Centre,"-37.8219947335768, 144.968837288153","Prominent performing arts centre with theaters, a concert hall & outdoor arena for various shows.","100 St Kilda Rd, Southbank VIC 3004"
Cultural & Historical,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"-37.8174831423197, 144.969899048343","Sprawling gallery of 70,000+ pieces of historic indigenous art, contemporary pieces & artifacts.","Federation Square, Flinders St &, Russell St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Victoria Police Museum,"-37.8222182774409, 144.954039975197",,"313 Spencer St, Docklands VIC 3008"
Cultural & Historical,Art Gallery/Museum,Immigration Museum,"-37.8191798798062, 144.960426777129","Multimedia exhibits documenting the history of immigration in Australia, plus a gift shop.","400 Flinders St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Fire Services Museum Victoria,"-37.8085761281612, 144.975373745366",,"39 Gisborne St, East Melbourne VIC 3002"
Cultural & Historical,Art Gallery/Museum,The Ian Potter Museum Of Art,"-37.7973939595503, 144.964156669702","Large collection of works including indigenous & European art, plus relics like Greek pots & coins.","Swanston St, Parkville VIC 3052"
Cultural & Historical,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"-37.8176107327202, 144.969070431323","Noteworthy institution celebrating film, television and gaming with exhibits, screenings and events.","Federation Square, Flinders St, Melbourne VIC 3000"
Cultural & Historical,Art Gallery/Museum,Fox Classic Car Collection,"-37.8213744301481, 144.948496661709",,"749-755 Collins St, Docklands VIC 3008"
Cultural & Historical,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,"-37.8252455123297, 144.95435243249",,South Wharf VIC 3006
