stop_id,latitude,stop_name,longitude,ticketzone,routeussp
19970,-37.781193,Royal Park Railway Station (Parkville),144.952301,1,Upfield
19971,-37.78814,Flemington Bridge Railway Station (North Melbourne),144.939323,1,Upfield
19972,-37.794267,Macaulay Railway Station (North Melbourne),144.936166,1,Upfield
19973,-37.807419,North Melbourne Railway Station (West Melbourne),144.94257,1,Flemington
19974,-37.788657,Clifton Hill Railway Station (Clifton Hill),144.995417,1,Mernda
19975,-37.799158,Victoria Park Railway Station (Abbotsford),144.994451,1,Mernda
19976,-37.804526,Collingwood Railway Station (Abbotsford),144.99375,1,Mernda
19977,-37.810398,North Richmond Railway Station (Richmond),144.9925,1,Mernda
19978,-37.814949,West Richmond Railway Station (Richmond),144.991423,1,Mernda
19979,-37.816527,Jolimont-MCG Railway Station (East Melbourne),144.984098,1,Mernda
19983,-37.726012,Macleod Railway Station (Macleod),145.069143,2,Hurstbridge
19984,-37.710958,Watsonia Railway Station (Watsonia),145.083793,2,Hurstbridge
19985,-37.703954,Greensborough Railway Station (Greensborough),145.108247,2,Hurstbridge
19986,-37.715296,Montmorency Railway Station (Montmorency),145.121516,2,Hurstbridge
19987,-37.71355,Eltham Railway Station (Eltham),145.147822,2,Hurstbridge
19988,-37.673297,Diamond Creek Railway Station (Diamond Creek),145.158506,2,Hurstbridge
19989,-37.663968,Wattle Glen Railway Station (Wattle Glen),145.181615,2,Hurstbridge
19990,-37.639398,Hurstbridge Railway Station (Hurstbridge),145.192017,2,Hurstbridge
19991,-37.867753,Williamstown Railway Station (Williamstown),144.905323,1,Williamstown
19992,-37.863982,Williamstown Beach Railway Station (Williamstown),144.894484,1,Williamstown
19993,-37.857333,North Williamstown Railway Station (Williamstown),144.889069,1,Williamstown
19994,-37.842718,Newport Railway Station (Newport),144.8836,1,Williamstown
19995,-37.830639,Spotswood Railway Station (Spotswood),144.885933,1,Williamstown
19996,-37.81585,Yarraville Railway Station (Yarraville),144.889934,1,Williamstown
19997,-37.809005,Seddon Railway Station (Seddon),144.895672,1,Williamstown
20000,-37.701129,Watergardens Railway Station (Sydenham),144.77418,2,Sunbury
20001,-37.729279,Keilor Plains Railway Station (St Albans),144.793738,2,Sunbury
20002,-37.744861,St Albans Railway Station (St Albans),144.80005,2,Sunbury
20003,-37.760067,Ginifer Railway Station (St Albans),144.811348,2,Sunbury
20004,-37.777653,Albion Railway Station (Sunshine North),144.824704,"1,2",Sunbury
20005,-37.652187,Epping Railway Station (Epping),145.031068,2,Mernda
20006,-37.665851,Lalor Railway Station (Lalor),145.017193,2,Mernda
20007,-37.680338,Thomastown Railway Station (Thomastown),145.014279,2,Mernda
20008,-37.69487,Keon Park Railway Station (Thomastown),145.011884,2,Mernda
20009,-37.707898,Ruthven Railway Station (Reservoir),145.009517,2,Mernda
20010,-37.716885,Reservoir Railway Station (Reservoir),145.006996,"1,2",Mernda
20011,-37.728403,Regent Railway Station (Reservoir),145.002773,"1,2",Mernda
20012,-37.738674,Preston Railway Station (Preston),145.000522,"1,2",Mernda
20013,-37.745562,Bell Railway Station (Preston),145.000155,1,Mernda
20014,-37.755052,Thornbury Railway Station (Thornbury),144.998572,1,Mernda
