stop_id,latitude,stop_name,longitude,ticketzone,routeussp
18730,-37.744359,134-Merribell Ave/Nicholson St (Coburg),144.977728,1,1
18726,-37.753566,130-The Avenue/Nicholson St (Coburg),144.975945,1,1
18727,-37.75134,131-Rennie St/Nicholson St (Coburg),144.976505,1,1
18728,-37.749418,132-Crozier St/Nicholson St (Coburg),144.976841,1,1
18729,-37.746371,133-Harding St/Nicholson St (Coburg),144.97731,1,1
19357,-37.756541,129-Moreland Rd/Nicholson St (Coburg),144.974979,1,1
19363,-37.753372,130-The Avenue/Nicholson St (Coburg),144.976189,1,1
19364,-37.751217,131-Rennie St/Nicholson St (Coburg),144.976679,1,1
19365,-37.749393,132-Crozier St/Nicholson St (Coburg),144.97699,1,1
19366,-37.746059,133-Harding St/Nicholson St (Coburg),144.977523,1,1
19367,-37.744371,134-Merribell Ave/Nicholson St (Coburg),144.977887,1,1
19368,-37.742861,135-Bell St/Nicholson St (Coburg),144.978132,1,1
18227,-37.823816,17-Arts Precinct/Sturt St (Southbank),144.967256,1,1
18229,-37.824094,17-Arts Precinct/Sturt St (Southbank),144.96718,1,1
18573,-37.836632,26-Ferrars St/Park St (South Melbourne),144.956405,1,1
18658,-37.837522,27-Park St/Montague St (South Melbourne),144.954176,1,1
18659,-37.840679,28-Montague St/Bridport St (Albert Park),144.955384,1,1
18660,-37.841563,29-Bridport St/Victoria Ave (Albert Park),144.953337,1,1
18661,-37.843942,30-Richardson St/Victoria Ave (Albert Park),144.951283,1,1
18662,-37.845674,31-Graham St/Victoria Ave (Albert Park),144.949826,1,1
18663,-37.847124,32-Beaconsfield Pde/Victoria Ave (Albert Park),144.948729,1,1
18224,-37.830091,20-Kings Way/Sturt St (Southbank),144.965334,1,1
18225,-37.828431,19-Miles St/Sturt St (Southbank),144.965755,1,1
18226,-37.825779,18-Grant St/Sturt St (Southbank),144.966634,1,1
18230,-37.825924,18-Grant St/Sturt St (Southbank),144.966664,1,1
18231,-37.828184,19-Miles St/Sturt St (Southbank),144.966057,1,1
18232,-37.830119,20-Kings Way/Sturt St (Southbank),144.96539,1,1
18481,-37.83223,22-Dorcas St/Eastern Rd (South Melbourne),144.964957,1,1
18482,-37.834472,23-Moray St/Park St (South Melbourne),144.96385,1,1
18483,-37.835203,24-Clarendon St/Park St (South Melbourne),144.961308,1,1
18484,-37.835946,25-Cecil St/Park St (South Melbourne),144.958912,1,1
19305,-37.832171,22-Dorcas St/Eastern Rd (South Melbourne),144.965186,1,1
19306,-37.834508,23-Moray St/Park St (South Melbourne),144.964349,1,1
19307,-37.835223,24-Clarendon St/Park St (South Melbourne),144.961944,1,1
19308,-37.836138,25-Cecil St/Park St (South Melbourne),144.958566,1,1
19309,-37.836642,26-Ferrars St/Park St (South Melbourne),144.956973,1,1
19310,-37.837329,27-Montague St/Park St (South Melbourne),144.954466,1,1
19311,-37.840423,28-Bridport St/Montague St (Albert Park),144.955721,1,1
19312,-37.841725,29-Bridport St/Victoria Ave (Albert Park),144.953367,1,1
19313,-37.843787,30-Richardson St/Victoria Ave (Albert Park),144.951685,1,1
19314,-37.845767,31-Graham St/Victoria Ave (Albert Park),144.950016,1,1
10311,-37.862455,45-Glenferrie Rd/Wattletree Rd (Malvern),145.028508,1,5
10371,-37.862069,44-Duncraig Ave/Wattletree Rd (Armadale),145.025382,1,5
11285,-37.86171,43-Egerton Rd/Wattletree Rd (Armadale),145.022754,1,5
12599,-37.861346,42-Kooyong Rd/Wattletree Rd (Armadale),145.019899,1,5
398,-37.860942,41-Armadale St/Wattletree Rd (Armadale),145.017796,1,5
409,-37.861189,42-Kooyong Rd/Wattletree Rd (Armadale),145.019619,1,5
8345,-37.863148,47-Cabrini Hospital/Wattletree Rd (Malvern),145.033855,1,5
9156,-37.862828,46-Soudan St/Wattletree Rd (Malvern),145.031386,1,5
940,-37.861592,43-Egerton Rd/Wattletree Rd (Armadale),145.0227,1,5
946,-37.861893,44-Duncraig Ave/Wattletree Rd (Armadale),145.025091,1,5
947,-37.862278,45-Glenferrie Rd/Wattletree Rd (Malvern),145.028127,1,5
950,-37.862658,46-Nicholls St/Wattletree Rd (Malvern),145.030958,1,5
955,-37.86296,47-Cabrini Hospital/Wattletree Rd (Malvern),145.033394,1,5
1185,-37.864226,50-Vincent St/Wattletree Rd (Malvern East),145.043375,1,5
1291,-37.864613,51-Erica Ave/Wattletree Rd (Malvern East),145.046571,1,5
1575,-37.865076,52-Burke Rd/Wattletree Rd (Malvern East),145.050071,1,5
1696,-37.864782,51-Nott St/Wattletree Rd (Malvern East),145.046998,1,5
1789,-37.864385,50-Anderson St/Wattletree Rd (Malvern East),145.043712,1,5
2232,-37.863985,49-Tooronga Rd/Wattletree Rd (Malvern East),145.040278,1,5
7354,-37.863572,48-Dixon St/Wattletree Rd (Malvern),145.037084,1,5
968,-37.863393,48-Dixon St/Wattletree Rd (Malvern),145.036634,1,5
980,-37.863827,49-Tooronga Rd/Wattletree Rd (Malvern East),145.039987,1,5
19360,-37.755663,131-De Carle St/Moreland Rd (Coburg),144.966354,1,6
19362,-37.755292,133-Moreland Station/Cameron St (Coburg),144.962119,1,6
16743,-37.855119,40-Armadale Station/High St (Armadale),145.018247,1,6
16744,-37.855419,41-Kooyong Rd/High St (Armadale),145.020581,1,6
16745,-37.855832,42-Huntingtower Rd/High St (Armadale),145.023673,1,6
16746,-37.856122,43-Mercer Rd/High St (Armadale),145.025938,1,6
16747,-37.856536,44-Glenferrie Rd/High St (Malvern),145.029166,1,6
16748,-37.856942,45-De La Salle College/High St (Malvern),145.032383,1,6
16766,-37.857157,45-De La Salle College/High St (Malvern),145.032889,1,6
16767,-37.856704,44-Glenferrie Rd/High St (Malvern),145.029503,1,6
16768,-37.856289,43-Mercer Rd/High St (Armadale),145.026229,1,6
16769,-37.855996,42-Huntingtower Rd/High St (Armadale),145.023827,1,6
16770,-37.855585,41-Kooyong Rd/High St (Armadale),145.020804,1,6
16771,-37.855274,40-Armadale Station/High St (Armadale),145.018402,1,6
18722,-37.756206,130-Barrow St/Moreland Rd (Coburg),144.970153,1,6
18723,-37.75581,131-De Carle St/Moreland Rd (Coburg),144.96652,1,6
18724,-37.755564,132-Sydney Rd/Moreland Rd (Coburg),144.964279,1,6
18725,-37.75526,133-Moreland Station/Moreland Rd (Coburg),144.962381,1,6
19358,-37.756571,129-Moreland Rd/Holmes St (Brunswick),144.974626,1,6
19359,-37.756058,130-Barrow St/Moreland Rd (Coburg),144.969975,1,6
19361,-37.75534,132-Sydney Rd/Moreland Rd (Coburg),144.963854,1,6
13401,-37.850564,28-Punt Rd/High St (Prahran),144.984047,1,6
14033,-37.85105,29-Perth St/High St (Prahran),144.987727,1,6
14614,-37.851319,30-Prahran Station/High St (Prahran),144.989731,1,6
14728,-37.851756,31-Chapel St/High St (Prahran),144.993209,1,6
15699,-37.852199,32-Hornby St/High St (Prahran),144.996436,1,6
16610,-37.852434,33-The Avenue/High St (Prahran),144.998089,1,6
16718,-37.852651,34-Lewisham Rd/High St (Prahran),144.999685,1,6
16738,-37.853011,35-Williams Rd/High St (Prahran),145.002324,1,6
16739,-37.853556,36-Chatsworth Rd/High St (Prahran),145.006276,1,6
16740,-37.853866,37-Airlie Ave/High St (Prahran),145.008654,1,6
16741,-37.85422,38-Orrong Rd/High St (Prahran),145.011452,1,6
16742,-37.854685,39-Auburn Gr/High St (Armadale),145.014974,1,6
