stop_id,stop_name,address,latitude,longitude,routesussp
11,William Street,42-70 William Street MELBOURNE VIC 3000,-37.81813195,144.9593366,City SightSeeing Melbourne
6,Lygon Street Precinct,270-350 Lygon Street CARLTON VIC 3053,-37.79906287,144.9672169,City SightSeeing Melbourne
8,Queen Victoria Market,2-94 Peel Street WEST MELBOURNE VIC 3003,-37.80771883,144.955655,City SightSeeing Melbourne
9,"Waterfront City, Docklands",28-38 Pearl River Road DOCKLANDS VIC 3008,-37.81414802,144.9373089,City SightSeeing Melbourne
1,Arts Precinct,2-128 St Kilda Road SOUTHBANK VIC 3006,-37.82022841,144.9687095,City SightSeeing Melbourne
2,Federation Square,198-206 Flinders Street MELBOURNE VIC 3000,-37.81732769,144.9679096,City SightSeeing Melbourne
10,Docklands Stadium & Victoria Harbour,122-148 Harbour Esplanade DOCKLANDS VIC 3008,-37.81832727,144.946419,City SightSeeing Melbourne
3,Sports Precinct,Yarra Park Brunton Avenue JOLIMONT VIC 3002,-37.81858632,144.9815782,City SightSeeing Melbourne
12,Southbank & Yarra River,1 Queens Bridge Street SOUTHBANK VIC 3006,-37.82117926,144.961388,City SightSeeing Melbourne
7,University of Melbourne,229-231 Grattan Street CARLTON VIC 3053,-37.80005215,144.9605804,City SightSeeing Melbourne
5,Melbourne Museum and Carlton Gardens,9-11 Nicholson Street CARLTON VIC 3053,-37.80470579,144.9692685,City SightSeeing Melbourne
4,Chinatown Precinct,113-149 Exhibition Street MELBOURNE VIC 3000,-37.81279147,144.9708916,City SightSeeing Melbourne
13,The Shrine and Royal Botanic Gardens,Birdwood Avenue MELBOURNE VIC 3004,-37.82932936,144.9741266,City SightSeeing Melbourne
